datetime,id,consumption,generation
2012-07-09 17:00,102,0.782,0.0
2012-07-09 18:00,102,0.552,0.0
2012-07-09 19:00,102,0.456,0.0
2012-07-09 20:00,102,0.459,0.0
2012-07-09 21:00,102,0.583,0.0
2012-07-09 22:00,102,0.1785,0.0
2012-07-09 23:00,102,0.119,0.0
2012-07-10 0:00,102,0.105,0.0
2012-07-10 1:00,102,0.1125,0.0
2012-07-10 2:00,102,0.1055,0.0
2012-07-10 3:00,102,0.09,0.0
2012-07-10 4:00,102,0.111,0.0
2012-07-10 5:00,102,0.258,0.0
2012-07-10 6:00,102,0.714,0.0
2012-07-10 7:00,102,0.659,0.0185
2012-07-10 8:00,102,0.8545,0.0655
2012-07-10 9:00,102,1.364,0.1345
2012-07-10 10:00,102,1.6015,0.169
2012-07-10 11:00,102,0.8835,0.2785
2012-07-10 12:00,102,0.5515,0.213
2012-07-10 13:00,102,0.2295,0.25
2012-07-10 14:00,102,0.215,0.0815
2012-07-10 15:00,102,0.26,0.0125
2012-07-10 16:00,102,0.346,0.0
2012-07-10 17:00,102,0.3375,0.0
2012-07-10 18:00,102,0.5385,0.0
2012-07-10 19:00,102,0.3895,0.0
2012-07-10 20:00,102,0.477,0.0
2012-07-10 21:00,102,0.4715,0.0
2012-07-10 22:00,102,0.27,0.0
2012-07-10 23:00,102,0.094,0.0
2012-07-11 0:00,102,0.1025,0.0
2012-07-11 1:00,102,0.1075,0.0
2012-07-11 2:00,102,0.0965,0.0
2012-07-11 3:00,102,0.086,0.0
2012-07-11 4:00,102,0.106,0.0
2012-07-11 5:00,102,0.3655,0.0
2012-07-11 6:00,102,0.4025,0.0
2012-07-11 7:00,102,0.3185,0.003
2012-07-11 8:00,102,0.5485,0.081
2012-07-11 9:00,102,0.8375,0.206
2012-07-11 10:00,102,1.043,0.341
2012-07-11 11:00,102,0.8375,0.3345
2012-07-11 12:00,102,0.7035,0.378
2012-07-11 13:00,102,0.7105,0.4065
2012-07-11 14:00,102,0.6275,0.194
2012-07-11 15:00,102,0.3155,0.0655
2012-07-11 16:00,102,0.3155,0.0155
2012-07-11 17:00,102,0.456,0.0
2012-07-11 18:00,102,0.4265,0.0
2012-07-11 19:00,102,0.2085,0.0
2012-07-11 20:00,102,0.6795,0.0
2012-07-11 21:00,102,0.902,0.0
2012-07-11 22:00,102,0.785,0.0
2012-07-11 23:00,102,0.133,0.0
2012-07-12 0:00,102,0.11,0.0
2012-07-12 1:00,102,0.1055,0.0
2012-07-12 2:00,102,0.0905,0.0
2012-07-12 3:00,102,0.1055,0.0
2012-07-12 4:00,102,0.111,0.0
2012-07-12 5:00,102,0.1195,0.0
2012-07-12 6:00,102,0.12,0.0
2012-07-12 7:00,102,0.608,0.003
2012-07-12 8:00,102,0.6815,0.047
2012-07-12 9:00,102,0.6845,0.0755
2012-07-12 10:00,102,0.8555,0.0565
2012-07-12 11:00,102,0.5805,0.05
2012-07-12 12:00,102,0.6915,0.075
2012-07-12 13:00,102,0.6855,0.0905
2012-07-12 14:00,102,0.476,0.047
2012-07-12 15:00,102,0.4025,0.019
2012-07-12 16:00,102,0.372,0.0065
2012-07-12 17:00,102,0.59,0.0
2012-07-12 18:00,102,0.4035,0.0
2012-07-12 19:00,102,0.393,0.0
2012-07-12 20:00,102,0.439,0.0
2012-07-12 21:00,102,0.535,0.003
2012-07-12 22:00,102,0.334,0.0
2012-07-12 23:00,102,0.137,0.0
2012-07-13 0:00,102,0.1085,0.0
2012-07-13 1:00,102,0.094,0.0
2012-07-13 2:00,102,0.0965,0.0
2012-07-13 3:00,102,0.105,0.0
2012-07-13 4:00,102,0.1035,0.0
2012-07-13 5:00,102,0.3965,0.0
2012-07-13 6:00,102,0.35,0.0
2012-07-13 7:00,102,0.2985,0.0065
2012-07-13 8:00,102,0.6525,0.0345
2012-07-13 9:00,102,0.7915,0.1
2012-07-13 10:00,102,0.7805,0.188
2012-07-13 11:00,102,0.591,0.372
2012-07-13 12:00,102,0.7505,0.369
2012-07-13 13:00,102,0.2265,0.4125
2012-07-13 14:00,102,0.1995,0.1375
2012-07-13 15:00,102,0.2605,0.0625
2012-07-13 16:00,102,0.2125,0.003
2012-07-13 17:00,102,0.4145,0.0
2012-07-13 18:00,102,0.556,0.0
2012-07-13 19:00,102,0.5845,0.0
2012-07-13 20:00,102,0.6535,0.0
2012-07-13 21:00,102,0.67,0.0
2012-07-13 22:00,102,0.2675,0.0
2012-07-13 23:00,102,0.124,0.0
2012-07-14 0:00,102,0.0955,0.0
2012-07-14 1:00,102,0.11,0.0
2012-07-14 2:00,102,0.1115,0.0
2012-07-14 3:00,102,0.1125,0.0
2012-07-14 4:00,102,0.1175,0.0
2012-07-14 5:00,102,0.138,0.0
2012-07-14 6:00,102,0.1345,0.0
2012-07-14 7:00,102,0.546,0.0065
2012-07-14 8:00,102,0.662,0.0845
2012-07-14 9:00,102,0.869,0.2095
2012-07-14 10:00,102,0.8245,0.35
2012-07-14 11:00,102,0.716,0.375
2012-07-14 12:00,102,0.7735,0.4405
2012-07-14 13:00,102,0.4935,0.453
2012-07-14 14:00,102,0.153,0.2625
2012-07-14 15:00,102,0.2725,0.0535
2012-07-14 16:00,102,0.2265,0.0
2012-07-14 17:00,102,0.558,0.0
2012-07-14 18:00,102,0.612,0.0
2012-07-14 19:00,102,0.638,0.0
2012-07-14 20:00,102,1.2585,0.0
2012-07-14 21:00,102,1.095,0.0
2012-07-14 22:00,102,0.8995,0.003
2012-07-14 23:00,102,0.157,0.0
2012-07-15 0:00,102,0.1145,0.0
2012-07-15 1:00,102,0.1235,0.0
2012-07-15 2:00,102,0.1045,0.0
2012-07-15 3:00,102,0.104,0.0
2012-07-15 4:00,102,0.091,0.0
2012-07-15 5:00,102,0.127,0.0
2012-07-15 6:00,102,0.1235,0.0
2012-07-15 7:00,102,0.272,0.003
2012-07-15 8:00,102,0.699,0.078
2012-07-15 9:00,102,0.5975,0.219
2012-07-15 10:00,102,0.4945,0.369
2012-07-15 11:00,102,1.094,0.413
2012-07-15 12:00,102,0.521,0.463
2012-07-15 13:00,102,0.5955,0.481
2012-07-15 14:00,102,0.55,0.2845
2012-07-15 15:00,102,0.22,0.0595
2012-07-15 16:00,102,0.3075,0.0
2012-07-15 17:00,102,0.9605,0.0
2012-07-15 18:00,102,0.8865,0.003
2012-07-15 19:00,102,1.031,0.0
2012-07-15 20:00,102,1.1365,0.0
