id,month,consumption,generation,price
146,10,59.598,63.482,93.3
146,11,65.3945,57.0065,93.3
146,12,95.856,61.2905,93.3
147,1,475.98199999999997,66.9455,213.4
147,2,497.245,56.8555,218.2
147,3,473.91949999999997,61.5725,212.9
147,4,478.805,54.747,214.1
147,5,773.356,60.6705,248.3
147,6,727.505,42.0935,245.5
147,7,996.551,55.236,257.3
147,8,790.915,68.9055,249.2
147,9,608.2365,74.191,235.2
147,10,442.0385,77.2855,204.0
147,11,336.749,64.9485,131.7
147,12,317.3055,66.245,128.3
148,1,231.4595,96.6025,106.2
148,2,230.0285,79.422,105.6
148,3,219.167,84.163,101.6
148,4,250.408,69.1185,112.3
148,5,346.1485,77.8145,133.2
148,6,569.582,51.904,230.4
148,7,341.5115,66.0965,132.5
148,8,436.105,87.4055,202.1
148,9,314.5455,94.32900000000001,127.7
148,10,217.527,101.6365,100.9
148,11,262.071,86.227,115.7
148,12,259.229,91.8665,114.9
149,1,327.863,59.4135,130.2
149,2,267.36,48.2845,117.1
149,3,288.288,55.168,122.3
149,4,261.189,46.985,115.5
149,5,306.6015,49.06,126.2
149,6,429.555,29.649,199.8
149,7,485.739,42.147,215.7
149,8,460.4125,53.555,209.4
149,9,327.08,64.672,130.1
149,10,332.887,65.0865,131.1
149,11,319.571,57.373,128.7
149,12,219.037,56.033500000000004,101.5
150,1,127.418,134.398,93.3
150,2,126.742,112.699,93.3
150,3,98.8885,123.018,93.3
150,4,74.9465,112.0,93.3
150,5,95.6615,118.009,93.3
150,6,98.078,78.4985,93.3
150,7,106.343,100.6425,93.3
150,8,111.7625,137.7835,93.3
150,9,85.9405,151.587,93.3
150,10,92.764,155.8905,93.3
150,11,86.1865,129.6145,93.3
150,12,54.324,133.6005,93.3
151,1,105.126,57.2965,93.3
151,2,119.0285,44.8225,93.3
151,3,121.1915,46.6635,93.3
151,4,121.77,43.345,93.3
151,5,163.3485,47.5135,93.3
151,6,248.742,28.6365,111.8
151,7,287.9875,39.2375,122.2
151,8,235.5365,57.6845,107.6
151,9,156.4755,56.7715,93.3
151,10,157.62800000000001,55.106,93.3
151,11,148.6495,49.7855,93.3
151,12,200.6035,53.392,93.6
152,1,366.281,280.036,136.2
152,2,353.6625,199.3465,134.4
152,3,381.1085,162.051,138.3
152,4,324.5595,140.7365,129.6
152,5,471.753,149.1735,212.4
152,6,499.425,103.0365,218.7
152,7,599.9415,125.2215,234.2
152,8,530.8975,169.592,224.6
152,9,328.088,196.434,130.2
152,10,333.924,206.395,131.2
152,11,345.8485,167.1935,133.2
152,12,420.0615,180.66649999999998,196.4
153,1,128.931,143.539,93.3
153,2,139.0065,126.9545,93.3
153,3,150.54,139.796,93.3
153,4,163.491,116.377,93.3
153,5,154.246,128.9245,93.3
153,6,159.3575,91.607,93.3
153,7,142.955,114.3045,93.3
153,8,159.099,150.118,93.3
153,9,140.4515,165.3835,93.3
153,10,136.2955,155.7175,93.3
153,11,136.088,126.298,93.3
